RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Dr. T & The Women,1,0,Richard Gere,Helen Hunt,Farrah Fawcett,Dr T and the Women,2000,122,12000000,4.8,4776,33.5,58.0,13.5,0,0,1,1,0,1,0
Dr. Dolittle 2,1,0,Eddie Murphy,Kristen Wilson,Jeffrey Jones,Dr Dolittle 2,2001,87,72000000,5.1,4920,13.5,78.0,13.5,0,0,1,0,0,0,0
Dr Jekyll & Ms Hyde,1,0,Sean Young,Tim Daly,Lysette Anthony,Dr Jekyll and Ms Hyde,1995,90,8000000,4.2,573,33.5,48.0,13.5,0,0,1,0,0,0,0
Bram Stoker's Dracula,1,0,Gary Oldman,Winona Ryder,Anthony Hopkins,Dracula,1992,128,40000000,7.1,19972,13.5,48.0,53.5,0,0,0,1,0,1,0
Dracula 2000,1,0,Christopher Plummer,Gerard Butler,Jonny Lee Miller,Dracula 2000,2000,99,28000000,4.9,5364,13.5,58.0,13.5,0,0,0,0,0,0,0
Dragon: The Bruce Lee Story,1,0,Jason Scott Lee,Lauren Holly,Robert Wagner,Dragon The Bruce Lee Story,1993,119,14000000,6.7,3244,13.5,48.0,43.5,1,0,0,1,0,0,0
Dragonfly,1,0,Kevin Costner,Kathy Bates,Lisa Banes,Dragonfly,2002,104,60000000,5.8,5431,13.5,68.0,23.5,0,0,0,1,0,0,0
Dragonslayer,1,0,Peter MacNicol,Caitlin Clarke,Ralph Richardson,Dragonslayer,1981,109,18000000,6.4,1965,13.5,58.0,23.5,1,0,0,0,0,0,0
Dream with the Fishes,1,0,David Arquette,Brad Hunt,Kathryn Erbe,Dream with the Fishes,1997,97,1000000,6.5,647,13.5,38.0,53.5,0,0,1,1,0,0,0
Dreamcatcher,1,0,Morgan Freeman,Thomas Jane,Jason Lee,Dreamcatcher,2003,134,68000000,5.2,10403,13.5,58.0,13.5,0,0,0,0,0,0,0
Dressed to Kill,1,0,Michael Caine,Angie Dickinson,Nancy Allen,Dressed to Kill,1980,104,6500000,6.9,3481,13.5,48.0,43.5,0,0,0,0,0,0,0
Drive,1,0,Mark Dacascos,Kadeem Hardison,Brittany Murphy,Drive,1997,117,3500000,6.4,1086,13.5,28.0,53.5,1,0,1,0,0,0,0
Drive Me Crazy,1,0,Melissa Joan Hart,Adrian Grenier,Susan May Pratt,Drive Me Crazy,1999,91,8000000,5.1,2934,13.5,48.0,13.5,0,0,1,1,0,1,0
Driven,1,0,Sylvester Stallone,Burt Reynolds,Kip Pardue,Driven,2001,116,72000000,4.4,7129,33.5,58.0,13.5,1,0,0,1,0,0,0
Driving Miss Daisy,1,0,Morgan Freeman,Jessica Tandy,Dan Aykroyd,Driving Miss Daisy,1989,99,7500000,7.4,8656,13.5,48.0,53.5,0,0,1,1,0,0,0
Drop Squad,1,0,Eriq La Salle,Vondie Curtis-Hall,Ving Rhames,Drop Squad,1994,86,2000000,3.9,150,33.5,48.0,13.5,0,0,0,1,0,0,0
Drop Zone,1,0,Wesley Snipes,Gary Busey,Yancy Butler,Drop Zone,1994,101,45000000,5.5,3104,13.5,68.0,23.5,1,0,0,0,0,0,0
Drowning Mona,1,0,Danny DeVito,Bette Midler,Neve Campbell,Drowning Mona,2000,95,16000000,5.4,3454,13.5,58.0,13.5,0,0,1,0,0,0,0
Drugstore Cowboy,1,0,Matt Dillon,Kelly Lynch,James LeGros,Drugstore Cowboy,1989,100,2500000,7.4,4999,13.5,48.0,53.5,0,0,0,1,0,0,0
Drumline,1,0,Nick Cannon,Zoe Saldana,Orlando Jones,Drumline,2002,118,20000000,5.3,7368,23.5,48.0,13.5,0,0,1,1,0,1,0
"Dude, Where's My Car?",1,0,Ashton Kutcher,Seann William Scott,Kristy Swanson,Dude Wheres My Car,2000,83,13000000,4.6,13330,23.5,58.0,13.5,0,0,1,0,0,0,0
Dudley Do-Right,1,0,Brendan Fraser,Sarah Jessica Parker,Alfred Molina,Dudley DoRight,1999,77,22000000,3.6,1790,43.5,38.0,13.5,0,0,1,0,0,0,0
Duets,1,0,Maria Bello,Andre Braugher,Paul Giamatti,Duets,2000,112,15000000,5.8,2414,13.5,58.0,23.5,0,0,1,1,0,0,0
Dumb and Dumberer: When Harry Met Lloyd,1,0,Eric Christian Olsen,Derek Richardson,Rachel Nichols,Dumb and Dumberer When Harry Met Lloyd,2003,85,19000000,3.3,4689,63.5,18.0,13.5,0,0,1,0,0,0,0
Dune,1,0,Francesca Annis,Leo Cimino,Brad Dourif,Dune,1984,190,45000000,6.3,16903,13.5,38.0,43.5,1,0,0,0,0,0,0
Dungeons & Dragons,1,0,Justin Whalin,Marlon Wayans,Zoe McLellan,Dungeons  Dragons,2000,107,35000000,4,7435,43.5,48.0,13.5,1,0,0,0,0,0,0
Duplex (Our House),1,0,Ben Stiller,Drew Barrymore,Eileen Essell,Duplex,2003,89,40000000,5.7,4334,13.5,68.0,13.5,0,0,1,0,0,0,0
The Dying Gaul,1,0,Patricia Clarkson,Campbell Scott,Peter Sarsgaard,Dying Gaul The,2005,101,4000000,4.3,70,33.5,23.5,53.5,0,0,0,1,0,1,0
DysFunKtional Family,1,0,[],[],[],DysFunktional Family,2003,89,3000000,5.6,207,23.5,48.0,33.5,0,0,1,0,1,0,0
E-Mail Prowler,1,0,Au Yeung Yiu Lun,Chan Yan-Yan,Tsang Siu Yin,Email,2000,109,1000000,4.1,33,33.5,38.0,23.5,0,0,1,0,0,1,0
E.T. The Extra-Terrestrial,1,0,Henry Thomas,Dee Wallace,Peter Coyote,ET the ExtraTerrestrial,1982,120,10500000,7.8,44175,13.5,28.0,63.5,0,0,0,1,0,0,0
Earth Girls Are Easy,1,0,Geena Davis,Jeff Goldblum,Julie Brown,Earth Girls Are Easy,1988,100,10000000,5,3952,13.5,58.0,13.5,0,0,1,0,0,0,0
Ed Wood,1,0,Johnny Depp,Martin Landau,Sarah Jessica Parker,Ed Wood,1994,127,18000000,8,22612,13.5,28.0,73.5,0,0,1,1,0,0,0
Ed and His Dead Mother,1,0,Steve Buscemi,Ned Beatty,Miriam Margolyes,Ed and His Dead Mother,1993,86,1800000,5.3,413,13.5,58.0,33.5,0,0,1,0,0,0,0
Eddie,1,0,Whoopi Goldberg,Frank Langella,Dennis Farina,Eddie,1996,100,30000000,4.9,1348,13.5,68.0,13.5,0,0,1,0,0,0,0
Edges of the Lord,1,0,Haley Joel Osment,Willem Dafoe,Olaf Lubaszenko,Edges of the Lord,2001,95,7500000,7,639,13.5,28.0,53.5,0,0,0,1,0,0,0
EdTV,1,0,Matthew McConaughey,Jenna Elfman,Woody Harrelson,Edtv,1999,122,60000000,6.2,10085,13.5,68.0,23.5,0,0,1,0,0,0,0
Edward Scissorhands,1,0,Johnny Depp,Winona Ryder,Dianne Wiest,Edward Scissorhands,1990,105,20000000,7.7,27017,13.5,28.0,63.5,0,0,0,1,0,1,0
Eight Legged Freaks,1,0,David Arquette,Kari Wuhrer,Scott Terra,Eight Legged Freaks,2002,99,30000000,5.5,6362,13.5,68.0,23.5,1,0,1,0,0,0,0
Eight Men Out,1,0,John Cusack,Clifton James,David Strathairn,Eight Men Out,1988,119,6000000,7.3,3689,13.5,48.0,43.5,0,0,0,1,0,0,0
The Eighteenth Angel,1,0,Wendy Crewson,Christopher McDonald,Stanley Tucci,Eighteenth Angel The,1998,95,25000000,4.6,557,23.5,58.0,13.5,1,0,0,0,0,0,0
Election,1,0,Matthew Broderick,Reese Witherspoon,Chris Klein,Election,1999,103,8500000,7.4,17521,13.5,38.0,53.5,0,0,1,0,0,0,0
Elektra,1,0,Jennifer Garner,Goran Visnjic,Will Yun Lee,Elektra,2005,96,43000000,4.9,5120,23.5,58.0,23.5,1,0,0,0,0,0,0
The Elephant Man,1,0,Anthony Hopkins,John Hurt,Anne Bancroft,Elephant Man The,1980,124,5000000,8.2,16422,13.5,28.0,73.5,0,0,0,1,0,0,0
Elf,1,0,Will Ferrell,Edward Asner,James Caan,Elf,2003,95,33000000,7,10165,13.5,48.0,53.5,0,0,1,0,0,0,0
Elizabeth,1,0,Cate Blanchett,Geoffrey Rush,Christopher Eccleston,Elizabeth,1998,124,25000000,7.6,14733,13.5,28.0,53.5,0,0,0,1,0,0,0
Ella Enchanted,1,0,Anne Hathaway,Hugh Dancy,Cary Elwes,Ella Enchanted,2004,96,35000000,6.5,2502,13.5,48.0,33.5,0,0,1,0,0,1,0
Elvira's Haunted Hills,1,0,Cassandra Peterson,Richard O'Brien,Mary Scheer,Elviras Haunted Hills,2001,90,1500000,5.2,307,13.5,48.0,23.5,0,0,1,0,0,0,0
"Elvira, Mistress of the Dark",1,0,Cassandra Peterson,Edie McClurg,Pat Crawford Brown,Elvira Mistress of the Dark,1988,96,20000000,5.3,1238,13.5,58.0,33.5,0,0,1,0,0,0,0
Emma,1,0,Gwyneth Paltrow,Jeremy Northam,Toni Collette,Emma,1996,121,6000000,6.9,6431,13.5,48.0,53.5,0,0,1,0,0,1,0
Emmett's Mark (Killing Emmett Young),1,0,Khandi Alexander,Gabriel Byrne,Tim Roth,Emmetts Mark,2002,104,4500000,6.2,427,13.5,68.0,23.5,0,0,0,1,0,0,0
The Emperor's Club,1,0,Kevin Kline,Emile Hirsch,Jesse Eisenberg,Emperors Club The,2002,109,12500000,6.7,3056,13.5,48.0,33.5,0,0,0,1,0,0,0
The Emperor's New Groove,1,0,David Spade,John Goodman,Eartha Kitt,Emperors New Groove The,2000,78,100000000,7.4,8532,13.5,48.0,53.5,0,1,1,0,0,0,0
Empire,1,0,John Leguizamo,Peter Sarsgaard,Denise Richards,Empire,2002,90,3500000,6,1718,13.5,68.0,23.5,1,0,0,1,0,0,0
Empire of the Sun,1,0,Christian Bale,John Malkovich,Miranda Richardson,Empire of the Sun,1987,154,38000000,7.5,9963,13.5,28.0,63.5,0,0,0,1,0,0,0
En la Puta Vida,1,0,Mariana Santangelo,Silvestre,Joseph Linuesa,En la puta vida,2001,103,1500000,6.9,117,13.5,48.0,43.5,0,0,1,1,0,0,0
End of Days,1,0,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,End of Days,1999,121,83000000,5.3,18237,13.5,68.0,13.5,1,0,0,0,0,0,0
The End of Violence,1,0,Bill Pullman,Andie MacDowell,Gabriel Byrne,End of Violence The,1997,122,5000000,5.4,1575,13.5,48.0,23.5,0,0,0,1,0,0,0
The End of the Affair,1,0,Ralph Fiennes,Julianne Moore,Stephen Rea,End of the Affair The,1999,102,23000000,7,4808,13.5,48.0,53.5,0,0,0,1,0,1,0
Enemy at the Gates,1,0,Joseph Fiennes,Jude Law,Rachel Weisz,Enemy at the Gates,2001,131,70000000,7.3,19169,13.5,48.0,53.5,1,0,0,1,0,1,0
Enemy of the State,1,0,Will Smith,Gene Hackman,Jon Voight,Enemy of the State,1998,131,90000000,7.1,23263,13.5,48.0,43.5,1,0,0,1,0,0,0
The English Patient,1,0,Ralph Fiennes,Juliette Binoche,Willem Dafoe,English Patient The,1996,160,27000000,7.1,25210,13.5,28.0,53.5,0,0,0,1,0,1,0
Enough,1,0,Jennifer Lopez,Bill Campbell,Juliette Lewis,Enough,2002,115,38000000,4.9,4339,23.5,48.0,13.5,0,0,0,1,0,0,0
Entrapment,1,0,Sean Connery,Catherine Zeta-Jones,Ving Rhames,Entrapment,1999,113,66000000,6.1,18543,13.5,68.0,23.5,0,0,1,0,0,1,0
Envy,1,0,Ben Stiller,Jack Black,Rachel Weisz,Envy,2004,99,40000000,4.3,3417,33.5,48.0,13.5,0,0,1,0,0,0,0
Equilibrium,1,0,Christian Bale,Emily Watson,Taye Diggs,Equilibrium,2002,107,20000000,7.6,17579,13.5,28.0,63.5,1,0,0,0,0,0,0
Tsui Hark's Vampire Hunters (The Era of Vampires),1,0,Ken Chang,Michael Chow Man-Kin,Suet Lam,Era of Vampire The,2002,90,1000000,4.2,329,33.5,48.0,13.5,1,0,0,0,0,0,0
Eraser,1,0,Arnold Schwarzenegger,James Caan,Vanessa L. Williams,Eraser,1996,115,100000000,5.8,14641,13.5,68.0,23.5,1,0,0,1,0,0,0
Erin Brockovich,1,0,Julia Roberts,Albert Finney,Aaron Eckhart,Erin Brockovich,2000,130,51000000,7.3,24301,13.5,48.0,43.5,0,0,0,1,0,0,0
Ernest Goes to Camp,1,0,Jim Varney,Victoria Racimo,John Vernon,Ernest Goes to Camp,1987,92,3000000,4.4,1562,13.5,48.0,23.5,0,0,1,0,0,0,0
Ernest Rides Again,1,0,Jim Varney,Linda Kash,Tom Butler,Ernest Rides Again,1993,96,7000000,3.6,250,33.5,38.0,23.5,0,0,1,0,0,0,0
Ernest Saves Christmas,1,0,Jim Varney,Douglas Seale,Oliver Clark,Ernest Saves Christmas,1988,95,6000000,4.6,1125,13.5,58.0,13.5,0,0,1,0,0,0,0
Escanaba in da Moonlight,1,0,Jeff Daniels,Harve Presnell,Joey Albright,Escanaba in da Moonlight,2001,91,1000000,5.5,373,13.5,18.0,43.5,0,0,1,0,0,0,0
Escape from L.A.,1,0,Kurt Russell,Stacy Keach,Steve Buscemi,Escape from LA,1996,101,50000000,4.8,7955,23.5,58.0,13.5,1,0,0,0,0,0,0
Escape from New York,1,0,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Escape from New York,1981,99,6000000,6.8,9924,13.5,48.0,53.5,1,0,0,0,0,0,0
The Devil's Backbone (El Espinazo del diablo),1,0,Marisa Paredes,Eduardo Noriega,Federico Luppi,Espinazo del diablo El,2001,108,4500000,7.4,3474,13.5,48.0,63.5,0,0,0,1,0,0,0
Eternal Sunshine Of The Spotless Mind,1,0,Jim Carrey,Kate Winslet,Kirsten Dunst,Eternal Sunshine of the Spotless Mind,2004,108,20000000,8.6,46240,13.5,18.0,83.5,0,0,1,1,0,1,0
Eulogy,1,0,Hank Azaria,Jesse Bradford,Zooey Deschanel,Eulogy,2004,91,10000000,6.5,773,13.5,48.0,43.5,0,0,1,1,0,0,0
Eurotrip,1,0,Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg,EuroTrip,2004,90,25000000,6.1,8390,13.5,58.0,33.5,0,0,1,0,0,0,0
Eve's Bayou,1,0,Jurnee Smollett,Meagan Good,Samuel L. Jackson,Eves Bayou,1997,109,5000000,7.2,2302,13.5,38.0,53.5,0,0,0,1,0,0,0
Evelyn,1,0,Pierce Brosnan,Aidan Quinn,Julianna Margulies,Evelyn,2002,94,10000000,7.1,1163,13.5,48.0,53.5,0,0,0,1,0,0,0
Even Cowgirls Get the Blues,1,0,Uma Thurman,John Hurt,Rain Phoenix,Even Cowgirls Get the Blues,1993,99,8000000,4,1609,43.5,38.0,13.5,0,0,1,1,0,1,0
Event Horizon,1,0,Laurence Fishburne,Sam Neill,Kathleen Quinlan,Event Horizon,1997,96,70000000,5.7,15510,13.5,48.0,23.5,0,0,0,0,0,0,0
An Everlasting Piece,1,0,Barry McEvoy,Brian F. O'Byrne,Anna Friel,Everlasting Piece An,2000,103,14000000,6.1,475,13.5,68.0,23.5,0,0,1,0,0,0,0
Everyone Says I Love You,1,0,Edward Norton,Alan Alda,Woody Allen,Everyone Says I Love You,1996,101,20000000,6.9,7314,13.5,48.0,53.5,0,0,1,0,0,1,0
Evil Dead 2,1,0,Bruce Campbell,Sarah Berry,Dan Hicks,Evil Dead II,1987,85,3500000,7.6,15743,13.5,28.0,63.5,1,0,1,0,0,0,0
Evita,1,0,Madonna,Antonio Banderas,Jonathan Pryce,Evita,1996,134,55000000,6.2,8371,13.5,38.0,53.5,0,0,0,1,0,0,0
Evolution,1,0,David Duchovny,Orlando Jones,Seann William Scott,Evolution,2001,101,80000000,5.8,14232,13.5,68.0,23.5,0,0,1,0,0,0,0
Excessive Force,1,0,Thomas Ian Griffith,Lance Henriksen,James Earl Jones,Excessive Force,1993,90,13000000,4.2,214,13.5,58.0,13.5,1,0,0,0,0,0,0
Executive Decision,1,0,Kurt Russell,Halle Berry,John Leguizamo,Executive Decision,1996,134,55000000,6.3,7653,13.5,68.0,23.5,1,0,0,0,0,0,0
Exit Wounds,1,0,Steven Seagal,DMX,Isaiah Washington,Exit Wounds,2001,101,33000000,5.3,5370,13.5,68.0,13.5,1,0,0,0,0,0,0
Exorcist - The Beginning,1,0,Stellan Skarsgard,Izabella Scorupco,James D'Arcy,Exorcist The Beginning,2004,114,30000000,5,4130,23.5,58.0,13.5,1,0,0,0,0,0,0
Extreme Measures,1,0,Hugh Grant,Gene Hackman,Sarah Jessica Parker,Extreme Measures,1996,118,38000000,5.9,3417,13.5,68.0,23.5,0,0,0,0,0,0,0
Extreme Ops,1,0,Devon Sawa,Bridgette Wilson-Sampras,Rupert Graves,Extreme Ops,2002,94,40000000,4,1337,43.5,48.0,13.5,1,0,0,0,0,0,0
Eye For An Eye,1,0,Sally Field,Kiefer Sutherland,Ed Harris,Eye for an Eye,1996,101,20000000,5.6,1843,13.5,58.0,23.5,0,0,0,1,0,0,0
Eye of the Beholder,1,0,Ewan McGregor,Ashley Judd,Patrick Bergin,Eye of the Beholder,1999,109,15000000,4.5,5549,33.5,48.0,13.5,0,0,0,0,0,0,0
Eyes Wide Shut,1,0,Tom Cruise,Nicole Kidman,Sydney Pollack,Eyes Wide Shut,1999,159,65000000,7,37868,13.5,38.0,43.5,0,0,0,1,0,0,0
Facade,1,0,Daniela Elle,Brad Garrett,Angus Macfadyen,Facade,2000,93,6000000,4.8,93,33.5,38.0,23.5,1,0,0,0,0,0,0
Face/Off,1,0,John Travolta,Nicolas Cage,Joan Allen,FaceOff,1997,133,80000000,7.1,37506,13.5,48.0,53.5,1,0,0,1,0,0,0
Factotum,1,0,Matt Dillon,Lili Taylor,Marisa Tomei,Factotum,2005,94,1000000,6.8,60,23.5,28.0,63.5,0,0,0,1,0,0,0
The Faculty,1,0,Michelle Holmes,Famke Janssen,Piper Laurie,Faculty The,1998,104,15000000,6.1,13143,13.5,68.0,23.5,0,0,0,0,0,0,0
Fahrenheit 9/11,1,0,Michael Moore,George W. Bush,Britney Spears,Fahrenheit 911,2004,122,6000000,7.9,34666,23.5,18.0,73.5,0,0,0,0,1,0,0
Fair Game,1,0,Cindy Crawford,William Baldwin,Steven Berkoff,Fair Game,1995,91,50000000,3.9,2579,43.5,48.0,13.5,1,0,1,1,0,0,0
Faithful,1,0,Cher,Chazz Palminteri,Ryan O'Neal,Faithful,1996,91,13000000,5.6,414,13.5,58.0,33.5,0,0,1,0,0,0,0
Fakers,1,0,Matthew Rhys,Kate Ashfield,Tom Chambers,Fakers,2004,85,1800000,5.6,58,9.0,18.0,73.5,0,0,1,0,0,0,0
The Family Man,1,0,Nicolas Cage,Tea Leoni,Don Cheadle,Family Man The,2000,125,60000000,6.5,11220,13.5,58.0,23.5,0,0,1,1,0,1,0
Fantasia 2000,1,0,Steve Martin,Itzhak Perlman,Quincy Jones,Fantasia2000,1999,75,80000000,7.4,5353,13.5,38.0,53.5,0,1,0,0,0,0,0
Il Fantasma dell'Opera (The Phantom of the Opera),1,0,Julian Sands,Asia Argento,Andrea Di Stefano,Fantasma dellopera Il,1998,106,10000000,3.8,910,43.5,48.0,13.5,0,0,0,1,0,1,0
Far and Away,1,0,Tom Cruise,Nicole Kidman,Thomas Gibson,Far and Away,1992,140,30000000,6.2,8556,13.5,58.0,23.5,0,0,0,1,0,1,0
Far From Heaven,1,0,Julianne Moore,Dennis Quaid,Dennis Haysbert,Far from Heaven,2002,107,13500000,7.7,9167,13.5,28.0,53.5,0,0,0,1,0,1,0
Fargo,1,0,Frances McDormand,William H. Macy,Steve Buscemi,Fargo,1996,98,7000000,8.2,65597,13.5,28.0,73.5,0,0,0,1,0,0,0
Fascination,1,0,Jacqueline Bisset,Adam Garcia,Alice Evans,Fascination,2004,95,5000000,3.3,124,33.5,18.0,33.5,0,0,0,1,0,1,0
Fast Food High,1,0,Alison Pill,John White,Sarah Gadon,Fast Food High,2003,92,4500000,5.4,23,19.0,48.0,23.5,0,0,1,1,0,1,0
Fast Times At Ridgemont High,1,0,Sean Penn,Jennifer Jason Leigh,Judge Reinhold,Fast Times at Ridgemont High,1982,90,4500000,7.1,10361,13.5,48.0,53.5,0,0,1,0,0,0,0
The Fast and the Furious,1,0,Paul Walker,Vin Diesel,Michelle Rodriguez,Fast and the Furious The,2001,106,38000000,5.7,21428,13.5,48.0,33.5,1,0,0,0,0,0,0
Fatal Attraction,1,0,Michael Douglas,Glenn Close,Anne Archer,Fatal Attraction,1987,123,14000000,6.7,8541,13.5,58.0,33.5,0,0,0,1,0,0,0
Father of the Bride Part II,1,0,Steve Martin,Diane Keaton,Martin Short,Father of the Bride Part II,1995,106,30000000,5.6,4089,13.5,58.0,13.5,0,0,1,0,0,0,0
Fathers' Day,1,0,Robin Williams,Billy Crystal,Julia Louis-Dreyfus,Fathers Day,1997,98,85000000,4.7,2714,13.5,68.0,13.5,0,0,1,0,0,0,0
Faust: Love of the Damned,1,0,Mark Frost,Isabel Brook,Jeffrey Combs,Faust Love of the Damned,2001,101,6000000,4.1,628,33.5,58.0,13.5,0,0,0,0,0,0,0
Fear X,1,0,John Turturro,Deborah Kara Unger,Stephen Eric McIntyre,Fear X,2003,91,6600000,5.9,742,13.5,48.0,23.5,0,0,0,0,0,0,0
Fear and Loathing in Las Vegas,1,0,Johnny Depp,Benicio Del Toro,Craig Bierko,Fear and Loathing in Las Vegas,1998,118,18500000,7.2,21484,13.5,28.0,53.5,0,0,1,1,0,0,0
fear dot com (FeardotCom),1,0,Stephen Dorff,Natascha McElhone,Stephen Rea,FearDotCom,2002,101,42000000,3.2,5126,63.5,38.0,13.5,0,0,0,0,0,0,0
Fei ying (Silver Hawk),1,0,Michelle Yeoh,Luke Goss,Chen Daming,Fei ying,2004,99,15000000,5.5,128,13.5,68.0,23.5,1,0,0,0,0,0,0
Femme Fatale,1,0,Rebecca Romijn,Antonio Banderas,Peter Coyote,Femme Fatale,2002,114,35000000,6.4,6083,13.5,58.0,23.5,0,0,0,0,0,0,0
The Celebration (Festen),1,0,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Festen,1998,105,1300000,8.2,11983,13.5,18.0,73.5,0,0,0,1,0,0,0
Fever Pitch (The Perfect Catch),1,0,Drew Barrymore,Jimmy Fallon,Jason Spevack,Fever Pitch,2005,98,39690000,6.6,1712,13.5,38.0,53.5,0,0,1,0,0,1,0
A Few Good Men,1,0,Tom Cruise,Jack Nicholson,Demi Moore,Few Good Men A,1992,138,33000000,7.5,25237,13.5,48.0,53.5,0,0,0,1,0,0,0
The Fifth Element,1,0,Bruce Willis,Milla Jovovich,Ian Holm,Fifth Element The,1997,126,90000000,7.1,55398,13.5,38.0,53.5,1,0,0,1,0,0,0
Fight Club,1,0,Edward Norton,Brad Pitt,Helena Bonham Carter,Fight Club,1999,139,63000000,8.5,112092,13.5,18.0,83.5,0,0,0,1,0,0,0
Final Destination,1,0,Devon Sawa,Amanda Detmer,Chad E. Donella,Final Destination,2000,98,23000000,6.6,16504,13.5,48.0,33.5,0,0,0,0,0,0,0
Final Destination 2,1,0,Ali Larter,A.J. Cook,Michael Landes,Final Destination 2,2003,90,26000000,6.3,8481,13.5,68.0,23.5,0,0,0,0,0,0,0
Final Fantasy - The Spirits Within,1,0,Ming-Na Wen,Alec Baldwin,Ving Rhames,Final Fantasy The Spirits Within,2001,106,137000000,6.5,16451,13.5,48.0,33.5,1,1,0,0,0,0,0
Final Solution,1,0,Jan Ellis,Bruce Marchiano,John Kani,Final Solution,2001,110,1500000,7,32,4.5,43.5,53.5,1,0,0,1,0,0,0
Finding Forrester,1,0,Sean Connery,Rob Brown (VI),F Murray Abraham,Finding Forrester,2000,136,43000000,7.3,13439,13.5,48.0,53.5,0,0,0,1,0,0,0
Finding Graceland,1,0,Harvey Keitel,Johnathon Schaech,Bridget Fonda,Finding Graceland,1998,106,10000000,6.6,504,13.5,48.0,43.5,0,0,0,1,0,0,0
Finding Nemo,1,0,Albert Brooks,Ellen DeGeneres,Alexander Gould,Finding Nemo,2003,100,94000000,8.3,41846,13.5,28.0,73.5,0,1,1,1,0,0,0
Firefox,1,0,Clint Eastwood,Freddie Jones,David Huffman,Firefox,1982,136,21000000,5.5,3401,13.5,78.0,13.5,1,0,0,0,0,0,0
Firestarter,1,0,David Keith,Drew Barrymore,George C. Scott,Firestarter,1984,101,15000000,5.6,2839,13.5,68.0,13.5,0,0,0,0,0,0,0
Firestorm,1,0,Howie Long,Scott Glenn,William Forsythe,Firestorm,1998,89,19000000,4.4,987,33.5,48.0,13.5,1,0,0,0,0,0,0
The Firm,1,0,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Firm The,1993,154,42000000,6.6,14708,13.5,68.0,23.5,0,0,0,1,0,0,0
First Blood (Rambo: First Blood),1,0,Sylvester Stallone,Richard Crenna,Brian Dennehy,First Blood,1982,97,14000000,6.8,11956,13.5,48.0,43.5,1,0,0,1,0,0,0
First Knight,1,0,Sean Connery,Richard Gere,Julia Ormond,First Knight,1995,134,75000000,5.6,8708,13.5,58.0,23.5,0,0,0,1,0,1,0
The First Power,1,0,Lou Diamond Phillips,Tracy Griffith,Jeff Kober,First Power The,1990,98,10000000,4.8,513,13.5,68.0,13.5,0,0,0,0,0,0,0
The First Wives Club,1,0,Bette Midler,Goldie Hawn,Diane Keaton,First Wives Club The,1996,103,26000000,5.6,6434,13.5,48.0,23.5,0,0,1,0,0,0,0
The First of May,1,0,Julie Harris,Dan Byrd,Mickey Rooney,First of May The,1999,111,2500000,7.1,88,13.5,28.0,63.5,0,0,0,1,0,0,0
A Fish Called Wanda,1,0,John Cleese,Jamie Lee Curtis,Kevin Kline,Fish Called Wanda A,1988,108,7500000,7.7,25035,13.5,38.0,53.5,0,0,1,0,0,0,0
The Fisher King,1,0,Robin Williams,Jeff Bridges,Mercedes Ruehl,Fisher King The,1991,137,24000000,7.4,11952,13.5,38.0,53.5,0,0,1,1,0,1,0
Fiza,1,0,Karisma Kapoor,Jaya Bhaduri,Hrithik Roshan,Fiza,2000,167,1000000,7.1,132,13.5,48.0,53.5,0,0,0,1,0,0,0
Flash Gordon,1,0,Sam J. Jones,Melody Anderson,Topol,Flash Gordon,1980,111,35000000,5.7,5626,13.5,48.0,33.5,1,0,0,0,0,0,0
Flawless,1,0,Robert De Niro,Philip Seymour Hoffman,Barry Miller,Flawless,1999,112,27000000,6.1,3287,13.5,58.0,23.5,0,0,1,1,0,0,0
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),1,0,Rutger Hauer,Jennifer Jason Leigh,Tom Burlinson,Flesh  Blood,1985,117,6500000,6.3,2047,13.5,48.0,43.5,1,0,0,1,0,0,0
Flight of the Phoenix,1,0,Dennis Quaid,Tyrese Gibson,Giovanni Ribisi,Flight of the Phoenix,2004,113,45000000,6,2732,13.5,68.0,23.5,1,0,0,0,0,0,0
The Flintstones in Viva Rock Vegas,1,0,Mark Addy,Stephen Baldwin,Kristen Johnston,Flintstones in Viva Rock Vegas The,2000,90,58000000,3.7,1712,43.5,38.0,13.5,0,0,1,0,0,0,0
The Flintstones,1,0,John Goodman,Elizabeth Perkins,Rick Moranis,Flintstones The,1994,91,45000000,4.5,8704,23.5,58.0,13.5,0,0,1,0,0,0,0
Flirting With Disaster,1,0,Ben Stiller,Patricia Arquette,Tea Leoni,Flirting with Disaster,1996,92,7000000,7,3986,13.5,48.0,43.5,0,0,1,0,0,0,0
The Fog,1,0,Adrienne Barbeau,Hal Holbrook,Janet Leigh,Fog The,1980,89,1000000,6.5,4618,13.5,48.0,33.5,0,0,0,0,0,0,0
